display  D   display_settings.c:191  debug_display_settings           [  -0.01728] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01726] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01724] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01722] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01720] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01717] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01715] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01713] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01708] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01706] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01704] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01702] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01700] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01698] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01695] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01693] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01691] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01689] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01687] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01684] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01682] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01680] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01677] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01675] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01672] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01668] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01664] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01661] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01659] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01657] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01655] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01653] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01650] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01648] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01646] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01644] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
